timestamp,open,high,low,close,volume,dividends,stock_splits
2015-12-08,103.26,103.26,103.26,103.26,0.0,0.0,0
2015-12-09,103.32,103.32,103.32,103.32,0.0,0.0,0
2015-12-10,103.24,103.24,103.24,103.24,0.0,0.0,0
2015-12-11,103.76,103.76,103.76,103.76,0.0,0.0,0
2015-12-14,103.32,103.32,103.32,103.32,0.0,0.0,0
2015-12-15,103.11,103.11,103.11,103.11,0.0,0.0,0
2015-12-16,102.95,102.95,102.95,102.95,0.0,0.0,0
2015-12-17,103.22,103.22,103.22,103.22,0.0,0.0,0
2015-12-18,103.44,103.44,103.44,103.44,0.0,0.0,0
2015-12-21,103.46,103.46,103.46,103.46,0.0,0.0,0
2015-12-22,103.25,103.25,103.25,103.25,0.0,0.0,0
2015-12-23,103.1,103.1,103.1,103.1,0.0,0.0,0
2015-12-24,103.19,103.19,103.19,103.19,0.0,0.0,0
2015-12-29,102.8,102.8,102.8,102.8,0.0,0.0,0
2015-12-30,102.81,102.81,102.81,102.81,0.0,0.0,0
2015-12-31,102.96,102.96,102.96,102.96,0.0,0.0,0
2016-01-04,103.2,103.2,103.2,103.2,0.0,0.0,0
2016-01-05,103.13,103.13,103.13,103.13,0.0,0.0,0
2016-01-06,103.54,103.54,103.54,103.54,0.0,0.0,0
2016-01-07,103.69,103.69,103.69,103.69,0.0,0.0,0
2016-01-08,103.88,103.88,103.88,103.88,0.0,0.0,0
2016-01-11,103.65,103.65,103.65,103.65,0.0,0.0,0
2016-01-12,103.99,103.99,103.99,103.99,0.0,0.0,0
2016-01-13,104.29,104.29,104.29,104.29,0.0,0.0,0
2016-01-14,104.12,104.12,104.12,104.12,0.0,0.0,0
2016-01-15,104.56,104.56,104.56,104.56,0.0,0.0,0
2016-01-18,104.54,104.54,104.54,104.54,0.0,0.0,0
2016-01-19,104.48,104.48,104.48,104.48,0.0,0.0,0
2016-01-20,104.83,104.83,104.83,104.83,0.0,0.0,0
2016-01-21,104.67,104.67,104.67,104.67,0.0,0.0,0
2016-01-22,104.47,104.47,104.47,104.47,0.0,0.0,0
2016-01-25,104.66,104.66,104.66,104.66,0.0,0.0,0
2016-01-26,104.71,104.71,104.71,104.71,0.0,0.0,0
2016-01-27,104.77,104.77,104.77,104.77,0.0,0.0,0
2016-01-28,104.84,104.84,104.84,104.84,0.0,0.0,0
2016-01-29,105.21,105.21,105.21,105.21,0.0,0.0,0
2016-02-01,105.06,105.06,105.06,105.06,0.0,0.0,0
2016-02-02,105.62,105.62,105.62,105.62,0.0,0.0,0
2016-02-03,105.51,105.51,105.51,105.51,0.0,0.0,0
2016-02-04,105.66,105.66,105.66,105.66,0.0,0.0,0
2016-02-05,105.67,105.67,105.67,105.67,0.0,0.0,0
2016-02-08,106.28,106.28,106.28,106.28,0.0,0.0,0
2016-02-09,106.28,106.28,106.28,106.28,0.0,0.0,0
2016-02-10,106.5,106.5,106.5,106.5,0.0,0.0,0
2016-02-11,106.72,106.72,106.72,106.72,0.0,0.0,0
2016-02-12,106.2,106.2,106.2,106.2,0.0,0.0,0
2016-02-15,106.02,106.02,106.02,106.02,0.0,0.0,0
2016-02-16,105.98,105.98,105.98,105.98,0.0,0.0,0
2016-02-17,105.79,105.79,105.79,105.79,0.0,0.0,0
2016-02-18,106.15,106.15,106.15,106.15,0.0,0.0,0
2016-02-19,106.1,106.1,106.1,106.1,0.0,0.0,0
2016-02-22,106.06,106.06,106.06,106.06,0.0,0.0,0
2016-02-23,106.2,106.2,106.2,106.2,0.0,0.0,0
2016-02-24,106.2,106.2,106.2,106.2,0.0,0.0,0
2016-02-25,106.38,106.38,106.38,106.38,0.0,0.0,0
2016-02-26,106.0,106.0,106.0,106.0,0.0,0.0,0
2016-02-29,106.11,106.11,106.11,106.11,0.0,0.0,0
2016-03-01,105.56,105.56,105.56,105.56,0.0,0.0,0
2016-03-02,105.56,105.56,105.56,105.56,0.0,0.0,0
2016-03-03,105.63,105.63,105.63,105.63,0.0,0.0,0
2016-03-04,105.4,105.4,105.4,105.4,0.0,0.0,0
2016-03-07,105.3,105.3,105.3,105.3,0.0,0.0,0
2016-03-08,105.69,105.69,105.69,105.69,0.0,0.0,0
2016-03-09,105.45,105.45,105.45,105.45,0.0,0.0,0
2016-03-10,105.24,105.24,105.24,105.24,0.0,0.0,0
2016-03-11,104.97,104.97,104.97,104.97,0.0,0.0,0
2016-03-14,105.04,105.04,105.04,105.04,0.0,0.0,0
2016-03-15,105.03,105.03,105.03,105.03,0.0,0.0,0
2016-03-16,105.38,105.38,105.38,105.38,0.0,0.0,0
2016-03-18,105.63,105.63,105.63,105.63,0.0,0.0,0
2016-03-21,105.4,105.4,105.4,105.4,0.0,0.0,0
2016-03-22,105.29,105.29,105.29,105.29,0.0,0.0,0
2016-03-23,105.64,105.64,105.64,105.64,0.0,0.0,0
2016-03-24,105.59,105.59,105.59,105.59,0.0,0.0,0
2016-03-29,106.11,106.11,106.11,106.11,0.0,0.0,0
2016-03-30,106.01,106.01,106.01,106.01,0.0,0.0,0
2016-03-31,106.25,106.25,106.25,106.25,0.0,0.0,0
2016-04-01,106.24,106.24,106.24,106.24,0.0,0.0,0
2016-04-04,106.31,106.31,106.31,106.31,0.0,0.0,0
2016-04-05,106.62,106.62,106.62,106.62,0.0,0.0,0
2016-04-06,106.42,106.42,106.42,106.42,0.0,0.0,0
2016-04-07,106.83,106.83,106.83,106.83,0.0,0.0,0
2016-04-08,106.66,106.66,106.66,106.66,0.0,0.0,0
2016-04-11,106.65,106.65,106.65,106.65,0.0,0.0,0
